Content		Number of requests
1414500938		49
1453178292		49
sm28036784		49
1451201253		49
sm26573540		49
1431945860		49
1452850806		49
sm28025802		48
sm1556758		48
sm28008307		48
sm27901750		48
sm27954962		48
sm27980695		48
sm22195367		48
sm7768055		48
sm28035740		48
sm28026584		48
sm28028492		48
sm28022713		48
sm27637297		48
sm26501792		48
sm27790524		48
sm27919337		48
sm26208032		48
sm28021908		48
sm25542807		48
sm27432605		48
so28012182		48
sm28013554		48
sm27892006		48
sm24071712		48
sm27899422		48
sm27917218		48
sm26985632		48
sm27987597		48
sm27886974		48
sm27984073		48
sm27923260		48
sm28028389		48
sm27946114		48
sm28050217		48
sm5697689		48
sm28044013		48
sm27952565		48
sm27954194		48
sm27638814		48
1453213695		48
sm28047560		48
sm28023835		48
sm26841293		48
sm27711017		48
sm20920264		48
sm27992874		47
sm28023297		47
sm27895941		47
sm27767648		47
sm27923009		47
sm27510921		47
sm28047606		47
sm15822708		47
sm27332421		47
sm25441860		47
sm26563078		47
sm28030937		47
sm8082467		47
sm28018302		47
sm28022898		47
sm27047158		47
sm27993787		47
so27967092		47
sm27994814		47
sm28010624		47
sm28006124		47
sm27833467		47
sm28001383		47
1451983221		47
sm28006700		47
sm6535703		47
sm27970551		47
sm27866460		47
sm27762825		47
sm28017385		47
sm27986089		47
sm27906238		47
sm27964050		46
sm27959023		46
sm21966393		46
sm27987240		46
sm27679100		46
sm28045516		46
sm28047339		46
sm16982480		46
sm27953469		46
sm27911759		46
sm27986632		46
sm27212738		46
sm27963682		46
sm27953416		46
sm27928796		46
sm27933624		46
sm26981060		46
sm21494172		46
sm27710143		46
sm28039371		46
sm27962926		46
sm28006323		46
1450196859		46
sm28037046		46
sm27998383		46
sm19011429		46
sm27993809		46
so27966525		46
sm27956430		46
sm28022753		46
sm27441793		46
sm27949341		46
sm8137580		46
sm26700445		46
sm27960172		46
sm27999568		46
sm27594055		46
sm28004105		46
sm14319655		46
sm8763994		46
sm14015237		46
sm27978778		46
sm9714351		46
so28039767		46
sm27984785		46
sm25678021		46
sm4314426		46
sm27995194		45
sm27938593		45
sm27672634		45
sm27968915		45
sm26593058		45
sm27900636		45
sm25005846		45
sm28003848		45
sm27890963		45
sm27907589		45
sm24775993		45
sm27921770		45
sm26725843		45
sm23083841		45
sm27955436		45
sm27864749		45
sm26166828		45
sm24085307		45
sm1175788		45
sm25354209		45
1452100087		45
sm28014573		45
sm19227595		45
sm13386216		45
sm27986331		45
sm27993836		45
so28007196		45
sm17135289		45
sm6102000		45
sm27993048		45
1453177788		45
sm27485100		45
sm27942630		45
sm27933905		45
sm27973962		44
sm26416892		44
1452757542		44
sm27682840		44
sm27996995		44
sm27966532		44
sm27435705		44
sm27962393		44
sm25300183		44
sm28040906		44
sm5281025		44
sm27545819		44
1449727586		44
sm27980844		44
sm28013492		44
